stockid,areaid,stocklong,region
SPSQUIDTSSTWC,Japan-FAJ-TSSTWC,Spear squid Tsushima warm current,Russia Japan
SPURDNEATL,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Spurdog Northeast Atlantic,European Union
SRAKEROCKBSAI,USA-NMFS-BSAI,Shortraker rockfish Bering Sea and Aleutian Islands,US Alaska
SRAKEROCKGA,USA-NMFS-GA,Shortraker rockfish Gulf of Alaska,US Alaska
SSALMA1,Canada-DFO-A1,Sockeye Salmon Area 1,Canada West Coast (Pacific Salmon)
SSALMA12,Canada-DFO-A12,Sockeye Salmon Area 12,Canada West Coast (Pacific Salmon)
SSALMA13,Canada-DFO-A13,Sockeye Salmon Area 13,Canada West Coast (Pacific Salmon)
SSALMA16,Canada-DFO-A16,Sockeye Salmon Area 16,Canada West Coast (Pacific Salmon)
SSALMA28,Canada-DFO-A28,Sockeye Salmon Area 28,Canada West Coast (Pacific Salmon)
SSALMA2E,Canada-DFO-A2E,Sockeye Salmon Area 2E,Canada West Coast (Pacific Salmon)
SSALMA2W,Canada-DFO-A2W,Sockeye Salmon Area 2W,Canada West Coast (Pacific Salmon)
SSALMA5,Canada-DFO-A5,Sockeye Salmon Area 5,Canada West Coast (Pacific Salmon)
SSALMA6,Canada-DFO-A6,Sockeye Salmon Area 6,Canada West Coast (Pacific Salmon)
SSALMA7,Canada-DFO-A7,Sockeye Salmon Area 7,Canada West Coast (Pacific Salmon)
SSALMA8,Canada-DFO-A8,Sockeye Salmon Area 8,Canada West Coast (Pacific Salmon)
SSALMADAMS,Canada-DFO-ADAMS,Sockeye Salmon Adams,Canada West Coast (Pacific Salmon)
SSALMAKALURAL,USA-AKSTATE-AKALURAL,Sockeye Salmon Akalura Lake,US Alaska (Pacific Salmon)
SSALMANADYRSW,Russia-TINRO-ANADYRSW,Sockeye Salmon Anadyr sockeye wild,Russia Japan (Pacific Salmon)
SSALMATNARKO,Canada-DFO-ATNARKO,Sockeye Salmon Atnarko,Canada West Coast (Pacific Salmon)
SSALMAWKER,USA-AKSTATE-AWKER,Sockeye Salmon Akwe River,US Alaska (Pacific Salmon)
SSALMBARKS,Canada-DFO-BARKS,Sockeye Salmon Barkley Sound,Canada West Coast (Pacific Salmon)
SSALMBEARR,USA-AKSTATE-BEARR,Sockeye Salmon Bear River,US Alaska (Pacific Salmon)
SSALMBIRKENH,Canada-DFO-BIRKENH,Sockeye Salmon Birkenhead,Canada West Coast (Pacific Salmon)
SSALMBLACKL,USA-AKSTATE-BLACKL,Sockeye Salmon Black Lake,US Alaska (Pacific Salmon)
SSALMBOWRON,Canada-DFO-BOWRON,Sockeye Salmon Bowron,Canada West Coast (Pacific Salmon)
SSALMBRANCH,USA-AKSTATE-BRANCH,Sockeye Salmon Branch,US Alaska (Pacific Salmon)
SSALMBUSKINL,USA-AKSTATE-BUSKINL,Sockeye Salmon Buskin Lake,US Alaska (Pacific Salmon)
SSALMCAYENNE,Canada-DFO-CAYENNE,Sockeye Salmon cayenne,Canada West Coast (Pacific Salmon)
SSALMCHIGNIKL,USA-AKSTATE-CHIGNIKL,Sockeye Salmon Chignik Lake,US Alaska (Pacific Salmon)
SSALMCHILKATL,USA-AKSTATE-CHILKATL,Sockeye Salmon Chilkat Lake,US Alaska (Pacific Salmon)
SSALMCHILKO,Canada-DFO-CHILKO,Sockeye Salmon Chilko,Canada West Coast (Pacific Salmon)
SSALMCHILKOOTL,USA-AKSTATE-CHILKOOTL,Sockeye Salmon Chilkoot Lake,US Alaska (Pacific Salmon)
SSALMCHILKOS,Canada-DFO-CHILKOS,Sockeye Salmon Chilko South,Canada West Coast (Pacific Salmon)
SSALMCHILLIW,Canada-DFO-CHILLIW,Sockeye Salmon chilliwack,Canada West Coast (Pacific Salmon)
SSALMCOLR,USA-WASTATE-COLR,Sockeye Salmon Columbia R,US West Coast (Pacific Salmon)
SSALMCULTUS,Canada-DFO-CULTUS,Sockeye Salmon Cultus,Canada West Coast (Pacific Salmon)
SSALMEALSEKDR,USA-AKSTATE-EALSEKDR,Sockeye Salmon East-Alsek-Doame River,US Alaska (Pacific Salmon)
SSALMEGEGIK,USA-AKSTATE-EGEGIK,Sockeye Salmon Egegik,US Alaska (Pacific Salmon)
SSALMEKAMSW,Russia-TINRO-EKAMSW,Sockeye Salmon East Kamchatka sockeye wild,Russia Japan (Pacific Salmon)
SSALMEUPPERS,USA-AKSTATE-EUPPERS,Sockeye Salmon Early Upper Station,US Alaska (Pacific Salmon)
SSALMFENNELL,Canada-DFO-FENNELL,Sockeye Salmon fennell,Canada West Coast (Pacific Salmon)
SSALMGATES,Canada-DFO-GATES,Sockeye Salmon Gates,Canada West Coast (Pacific Salmon)
SSALMGATESC,Canada-DFO-GATESC,Sockeye Salmon Gates Channel,Canada West Coast (Pacific Salmon)
SSALMHARRISON,Canada-DFO-HARRISON,Sockeye Salmon harrison,Canada West Coast (Pacific Salmon)
SSALMHORSEFLY,Canada-DFO-HORSEFLY,Sockeye Salmon Horsefly,Canada West Coast (Pacific Salmon)
SSALMHSSH,Japan-FAJ-HSSH,Sockeye Salmon Japan High Seas catch sockeye hatchery,Russia Japan (Pacific Salmon)
SSALMHSSW,Japan-FAJ-HSSW,Sockeye Salmon Japan High Seas catch sockeye wild,Russia Japan (Pacific Salmon)
SSALMIGUSHIK,USA-AKSTATE-IGUSHIK,Sockeye Salmon Igushik,US Alaska (Pacific Salmon)
SSALMILNIKR,USA-AKSTATE-ILNIKR,Sockeye Salmon Ilnik River,US Alaska (Pacific Salmon)
SSALMITALOR,USA-AKSTATE-ITALOR,Sockeye Salmon Italo River,US Alaska (Pacific Salmon)
SSALMKARLUKL,USA-AKSTATE-KARLUKL,Sockeye Salmon Karluk Lake,US Alaska (Pacific Salmon)
SSALMKIMSQUIT,Canada-DFO-KIMSQUIT,Sockeye Salmon Kimsquit,Canada West Coast (Pacific Salmon)
SSALMKITLOPE,Canada-DFO-KITLOPE,Sockeye Salmon Kitlope,Canada West Coast (Pacific Salmon)
SSALMKLUKSHUR,USA-AKSTATE-KLUKSHUR,Sockeye Salmon Klukshu River,US Alaska (Pacific Salmon)
SSALMKUSKOKWIM,USA-AKSTATE-KUSKOKWIM,Sockeye Salmon Kuskokwim,US Alaska (Pacific Salmon)
SSALMKVICHAK,USA-AKSTATE-KVICHAK,Sockeye Salmon Kvichak,US Alaska (Pacific Salmon)
SSALMLLAKE,Canada-DFO-LLAKE,Sockeye Salmon Long Lake,Canada West Coast (Pacific Salmon)
SSALMLOSTR,USA-AKSTATE-LOSTR,Sockeye Salmon Lost River,US Alaska (Pacific Salmon)
SSALMLRIVER,USA-AKSTATE-LRIVER,Sockeye Salmon Little River,US Alaska (Pacific Salmon)
SSALMLSTUART,Canada-DFO-LSTUART,Sockeye Salmon Late Stuart,Canada West Coast (Pacific Salmon)
SSALMLUPPERS,USA-AKSTATE-LUPPERS,Sockeye Salmon Late Upper Station,US Alaska (Pacific Salmon)
SSALMLWASH,USA-WASTATE-LWASH,Sockeye Salmon Lake Washington,US West Coast (Pacific Salmon)
SSALMMALINAL,USA-AKSTATE-MALINAL,Sockeye Salmon Malina Lake,US Alaska (Pacific Salmon)
SSALMMCDONALD,USA-AKSTATE-MCDONALD,Sockeye Salmon McDonald,US Alaska (Pacific Salmon)
SSALMMITCHELL,Canada-DFO-MITCHELL,Sockeye Salmon Mitchell,Canada West Coast (Pacific Salmon)
SSALMNADINA,Canada-DFO-NADINA,Sockeye Salmon Nadina,Canada West Coast (Pacific Salmon)
SSALMNADINAC,Canada-DFO-NADINAC,Sockeye Salmon Nadina Channel,Canada West Coast (Pacific Salmon)
SSALMNAHANTLATCH,Canada-DFO-NAHANTLATCH,Sockeye Salmon nahatlatch,Canada West Coast (Pacific Salmon)
SSALMNAKNEK,USA-AKSTATE-NAKNEK,Sockeye Salmon Naknek,US Alaska (Pacific Salmon)
SSALMNASS,Canada-DFO-NASS,Sockeye Salmon Nass,Canada West Coast (Pacific Salmon)
SSALMNELSONR,USA-AKSTATE-NELSONR,Sockeye Salmon Nelson River,US Alaska (Pacific Salmon)
SSALMNUSHAGAK,USA-AKSTATE-NUSHAGAK,Sockeye Salmon Nushagak,US Alaska (Pacific Salmon)
SSALMNUYAKUK,USA-AKSTATE-NUYAKUK,Sockeye Salmon Nuyakuk,US Alaska (Pacific Salmon)
SSALMOKSH,Russia-TINRO-OKSH,Sockeye Salmon Okhotsk sockeye hatchery,Russia Japan (Pacific Salmon)
SSALMOKSW,Russia-TINRO-OKSW,Sockeye Salmon Okhotsk sockeye wild,Russia Japan (Pacific Salmon)
SSALMORZINSKIL,USA-AKSTATE-ORZINSKIL,Sockeye Salmon Orzinski Lake,US Alaska (Pacific Salmon)
SSALMOWIKENOL,Canada-DFO-OWIKENOL,Sockeye Salmon Owikeno Lake,Canada West Coast (Pacific Salmon)
SSALMPASAGSHAKR,USA-AKSTATE-PASAGSHAKR,Sockeye Salmon Pasagshak River,US Alaska (Pacific Salmon)
SSALMPAULSBD,USA-AKSTATE-PAULSBD,Sockeye Salmon Pauls Bay Drainage,US Alaska (Pacific Salmon)
SSALMPITT,Canada-DFO-PITT,Sockeye Salmon Pitt,Canada West Coast (Pacific Salmon)
SSALMPORTAGE,Canada-DFO-PORTAGE,Sockeye Salmon Portage,Canada West Coast (Pacific Salmon)
SSALMQUIN,USA-WASTATE-QUIN,Sockeye Salmon Quinault,US West Coast (Pacific Salmon)
SSALMRAFT,Canada-DFO-RAFT,Sockeye Salmon Raft,Canada West Coast (Pacific Salmon)
SSALMREDOUBTL,USA-AKSTATE-REDOUBTL,Sockeye Salmon Redoubt Lake,US Alaska (Pacific Salmon)
SSALMSALTERYL,USA-AKSTATE-SALTERYL,Sockeye Salmon Saltery Lake,US Alaska (Pacific Salmon)
SSALMSANDYR,USA-AKSTATE-SANDYR,Sockeye Salmon Sandy River,US Alaska (Pacific Salmon)
SSALMSCOTCH,Canada-DFO-SCOTCH,Sockeye Salmon scotch,Canada West Coast (Pacific Salmon)
SSALMSEYMOUR,Canada-DFO-SEYMOUR,Sockeye Salmon Seymour,Canada West Coast (Pacific Salmon)
SSALMSHUSWAP,Canada-DFO-SHUSWAP,Sockeye Salmon shuswap,Canada West Coast (Pacific Salmon)
SSALMSITUKR,USA-AKSTATE-SITUKR,Sockeye Salmon Situk River,US Alaska (Pacific Salmon)
SSALMSKEENA,Canada-DFO-SKEENA,Sockeye Salmon Skeena,Canada West Coast (Pacific Salmon)
SSALMSKIDEGATE,Canada-DFO-SKIDEGATE,Sockeye Salmon Skidegate,Canada West Coast (Pacific Salmon)
SSALMSPEELL,USA-AKSTATE-SPEELL,Sockeye Salmon Speel Lake,US Alaska (Pacific Salmon)
SSALMSTELLAKO,Canada-DFO-STELLAKO,Sockeye Salmon Stellako,Canada West Coast (Pacific Salmon)
SSALMSTIKINE,USA-AKSTATE-STIKINE,Sockeye Salmon Stikine,US Alaska (Pacific Salmon)
SSALMTAHLTAN,USA-AKSTATE-TAHLTAN,Sockeye Salmon Tahltan,US Alaska (Pacific Salmon)
SSALMTAKUR,USA-AKSTATE-TAKUR,Sockeye Salmon Taku River,US Alaska (Pacific Salmon)
SSALMTASEKO,Canada-DFO-TASEKO,Sockeye Salmon taseko,Canada West Coast (Pacific Salmon)
SSALMTOGIAK,USA-AKSTATE-TOGIAK,Sockeye Salmon Togiak,US Alaska (Pacific Salmon)
SSALMUCOOKI,USA-AKSTATE-UCOOKI,Sockeye Salmon Upper Cook Inlet,US Alaska (Pacific Salmon)
SSALMUGANIKL,USA-AKSTATE-UGANIKL,Sockeye Salmon Uganik Lake,US Alaska (Pacific Salmon)
SSALMUGASHIK,USA-AKSTATE-UGASHIK,Sockeye Salmon Ugashik,US Alaska (Pacific Salmon)
SSALMWEAVER,Canada-DFO-WEAVER,Sockeye Salmon Weaver,Canada West Coast (Pacific Salmon)
SSALMWEAVERC,Canada-DFO-WEAVERC,Sockeye Salmon Weaver Channel,Canada West Coast (Pacific Salmon)
SSALMWKAMSH,Russia-TINRO-WKAMSH,Sockeye Salmon West Kamchatka sockeye hatchery,Russia Japan (Pacific Salmon)
SSALMWKAMSW,Russia-TINRO-WKAMSW,Sockeye Salmon West Kamchatka sockeye wild,Russia Japan (Pacific Salmon)
SSALMWOOD,USA-AKSTATE-WOOD,Sockeye Salmon Wood,US Alaska (Pacific Salmon)
SSALMYAKOUN,Canada-DFO-YAKOUN,Sockeye Salmon Yakoun,Canada West Coast (Pacific Salmon)
SSANDNSJ,Japan-FAJ-NSJ,Sailfin sandfish Sea of Japan North,Russia Japan
SSANDWSJ,Japan-FAJ-WSJ,Sailfin sandfish Sea of Japan West,Russia Japan
SSARDCH,Chile-SUBPESCA-CH-CS,Southern sardine Chile,South America
SSCLAMQCW,Canada-DFO-QCW,Softshell clam  Quebec Coastal Waters,Canada East Coast
SSHRIMPSMAGTSE,Canada-DFO-SMA-GTSE,Sidestripe shrimp SMA GTSE,Canada West Coast
SSHRIMPSMAPRD,Canada-DFO-SMA-PRD,Sidestripe shrimp SMA PRD,Canada West Coast
SSKAT5YZSNE,USA-NMFS-5YZSNE,Smooth skate Gulf of Marine / Georges Bank-Southern New England,US East Coast
SSLOBSTERSASC,South Africa-DETMCM-SASC,Southern spiny lobster South Africa South coast,South Africa
SSSHRIMPICBC,Canada-DFO-ICBC,Sidestripe shrimp Inshore Coast of British Columbia,Canada West Coast
SSSHRIMPSMA14,Canada-DFO-SMA-14,Sidestripe shrimp SMA 14,Canada West Coast
SSSHRIMPSMA16,Canada-DFO-SMA-16,Sidestripe shrimp SMA 16,Canada West Coast
SSSHRIMPSMA18-19,Canada-DFO-SMA-18-19,Sidestripe shrimp SMA 18-19,Canada West Coast
SSSHRIMPSMAFR,Canada-DFO-SMA-FR,Sidestripe shrimp SMA FR,Canada West Coast
SSTHORNHGA,USA-NMFS-GA,Shortspine thornyhead Gulf of Alaska,US Alaska
SSTHORNHPCOAST,USA-NMFS-PCOAST,Shortspine thornyhead Pacific Coast,US West Coast
STFLOUNNPCOAST,USA-NMFS-NPCOAST,Starry flounder Northern Pacific Coast,US West Coast
STFLOUNSPCOAST,USA-NMFS-SPCOAST,Starry flounder Southern Pacific Coast,US West Coast
STMARLINIO,multinational-IOTC-IO,Striped marlin Indian Ocean,Indian Ocean
STMARLINNEPAC,multinational-IATTC-NEPAC,Striped marlin Northeast Pacific,Pacific Ocean
STMARLINNPAC,USA-NMFS-NPAC,Striped marlin North Pacific,Pacific Ocean
STMARLINSWPO,multinational-WCPFC-WPO,Striped marlin Southwestern Pacific Ocean,Pacific Ocean
STMARLINWCNPAC,multinational-ISC-WCNPAC,Striped marlin Western and Central North Pacific,Pacific Ocean
STRAYII-IIIa-IV,multinational-ICES-II-IIIa-IV,Starry ray ICES II-IIIa-IV,European Union
STRIPEDBASSGOMCHATT,USA-NMFS-5YCHATT,Striped bass Gulf of Maine / Cape Hatteras,US East Coast
STRMULLIIIa-IV-VIId,multinational-ICES-IIIa-IV-VIId,"Striped red mullet IIIa, VIId and North Sea",European Union
STRMULLVI-VIIabcefghijk-VIII-IXa,multinational-ICES-VI-VIIabcefghijk-VIII-IXa,Striped red mullet ICES VI-VIIabcefghijk-VIII-IXa,European Union
STROUT22-32,multinational-ICES-22-32,Sea trout Baltic Areas 22-32,European Union
STRSHRIMPSFA2-3,Canada-DFO-SFA2-3,Aesop shrimp Shrimp Fishing Areas 2-3,Canada East Coast
STSQUIDSOJECS,Japan-FAJ-SOJECS,Swordtip squid Sea of Japan and East China Sea,Russia Japan
SURFMATLC,USA-NMFS-MATLC,Atlantic surfclam Mid-Atlantic Coast,US East Coast
SWHITSE,Australia-AFMA-SE,School whiting Southeast Australia,Australia
SWORDEPAC,multinational-IATTC-EPAC,Swordfish Eastern Pacific,Pacific Ocean
SWORDIO,multinational-IOTC-IO,Swordfish Indian Ocean,Indian Ocean
SWORDMED,multinational-ICCAT-MED,Swordfish Mediterranean Sea,Mediterranean-Black Sea
SWORDNATL,multinational-ICCAT-NATL,Swordfish North Atlantic,Atlantic Ocean
SWORDNPAC,multinational-ISC-NPAC,Swordfish North Pacific,Pacific Ocean
SWORDSATL,multinational-ICCAT-SATL,Swordfish South Atlantic,Atlantic Ocean
TANNERCRABBSAI,USA-NMFS-BSAI,Tanner crab Bering Sea and Aleutian Islands,US Alaska
TARAKNZ,New Zealand-MFish-SA,Tarakihi New Zealand,New Zealand
TASGIANTCRABTAS,Australia-AFMA-TAS,Tasmanian giant crab Tasmania,Australia
TBSKAIIIa-IV-VIId,multinational-ICES-IIIa-IV-VIId,"Thornback skate IIIa, VIId and North Sea",European Union
TBSKAIXa,multinational-ICES-IXa,Thornback skate Portugese Waters -East,European Union
TBSKAMEDGSA29,multinational-GFCM-GSA29,Thornback skate Black Sea,Mediterranean-Black Sea
TBSKAVI,multinational-ICES-VI,Thornback skate ICES VI,European Union
TBSKAVIIafg,multinational-ICES-VIIafg,Thornback skate ICES VIIafg,European Union
TBSKAVIIe,multinational-ICES-VIIe,Thornback skate Western English Channel,European Union
TBSKAVIII,multinational-ICES-VIII,Thornback skate Bay of Biscay,European Union
THREADWASG1,multinational-FAO-SG1,Threadfin West Africa Subgroup 1,West Africa
THREADWASG2,multinational-FAO-SG2,Threadfin West Africa Subgroup 2,West Africa
THREADWASG3,multinational-FAO-SG3,Threadfin West Africa Subgroup 3,West Africa
TIGERFLATSE,Australia-AFMA-SE,Tiger flathead Southeast Australia,Australia
TILEGM,USA-NMFS-GM,Tilefish Gulf of Mexico,US Southeast and Gulf
TILEMATLC,USA-NMFS-MATLC,Tilefish Mid-Atlantic Coast,US East Coast
TILESATLC,USA-NMFS-SATLC,Tilefish Southern Atlantic coast,US Southeast and Gulf
TPSHARNEATL,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Tope shark Northeast Atlantic,European Union
TREVALLYTRE7,New Zealand-MFish-TRE7,Trevally New Zealand Areas TRE 7,New Zealand
TSKA3LNOPs,multinational-NAFO-3LNOPs,Thorny skate NAFO-3LNOPs,Canada East Coast
TSKA4T,Canada-DFO-4T,Thorny skate Southern Gulf of St. Lawrence,Canada East Coast
TSKAT5YZSNE,USA-NMFS-5YZSNE,Thorny skate Gulf of Marine / Georges Bank-Southern New England,US East Coast
TUR2232,multinational-ICES-22-32,Turbot Baltic Areas 22-32,European Union
TURBLKGSA29,multinational-GFCM-GSA29,Turbot Black Sea,Mediterranean-Black Sea
TURIIIa,multinational-ICES-IIIa,Turbot Kattegat and Skagerrak,European Union
TURIV,multinational-ICES-IV,Turbot North Sea,European Union
URAYVIIde,multinational-ICES-VIIde,Undulate ray VIIde,European Union
URAYVIIIab,multinational-ICES-VIIIab,Undulate ray VIIIab,European Union
VSNAPGM,USA-NMFS-GM,Vermilion snapper Gulf of Mexico,US Southeast and Gulf
VSNAPSATLC,USA-NMFS-SATLC,Vermilion snapper Southern Atlantic coast,US Southeast and Gulf
WANGLGSA1-7,multinational-GFCM-GSA1-7,White anglerfish Geographical Sub-Areas 1-7,Mediterranean-Black Sea
WANGLVIIIc-IXa,multinational-ICES-VIIIc-IXa,White anglerfish VIIIc-IXa,European Union
WANGLVII-VIIIabd,multinational-ICES-VII-VIIIabd,White anglerfish VII and VIIIabd,European Union
WAREHOUESE,Australia-AFMA-ESE,Blue Warehou Eastern half of Southeast Australia,Australia
WAREHOUWSE,Australia-AFMA-WSE,Blue Warehou Western half of Southeast Australia,Australia
WEAKFISHATLC,USA-NMFS-ATLC,Weakfish Atlantic Coast,US East Coast
WHAKE3NOPs,multinational-NAFO-3NOPs,White hake Southern Grand Bank and St. Pierre Bank,Canada East Coast
WHAKE4RS,Canada-DFO-4RS,White hake Northern Gulf of St. Lawrence,Canada East Coast
WHAKE4T,Canada-DFO-4T,White hake Southern Gulf of St. Lawrence,Canada East Coast
WHAKE4VWX5,Canada-DFO-4VWX5,"White hake Scotian Shelf, Bay of Fundy and Georges Bank",Canada East Coast
WHAKEGBGOM,USA-NMFS-5YZ,White hake Georges Bank / Gulf of Maine,US East Coast
WHITIIIa,multinational-ICES-IIIa,Whiting Kattegat and Skagerrak,European Union
WHITMEDGSA29,multinational-GFCM-GSA29,Whiting Black Sea,Mediterranean-Black Sea
WHITNS-VIId,multinational-ICES-IV-VIId,Whiting NS-VIId,European Union
WHITVIa,multinational-ICES-VIa,Whiting ICES VIa,European Union
WHITVIb,multinational-ICES-VIb,Whiting Rockall Bank,European Union
WHITVIIa,multinational-ICES-VIIa,Whiting Irish Sea,European Union
WHITVIIek,multinational-ICES-VIIe-k,Whiting ICES VIIe-k,European Union
WHITVIII-IXa,multinational-ICES-VIII-IXa,Whiting VIII and IXa,European Union
WINDOWGOMGB,USA-NMFS-5YZ,Windowpane flounder - Gulf of Maine / Georges Bank,US East Coast
WINDOWSNEMATL,USA-NMFS-SNEMATL,Windowpane Southern New England-Mid Atlantic,US East Coast
WINFLOUN4T,Canada-DFO-4T,Winter flounder Southern Gulf of St. Lawrence,Canada East Coast
WINFLOUN5Z,USA-NMFS-5Z,Winter Flounder NAFO-5Z,US East Coast
WINFLOUND5Y,USA-NMFS-5Y,Winter Flounder NAFO-5Y,US East Coast
WINFLOUNSNEMATL,USA-NMFS-SNEMATL,Winter Flounder Southern New England-Mid Atlantic,US East Coast
WITFLOUN3Ps,Canada-DFO-3Ps,Witch flounder NAFO-3Ps,Canada East Coast
WITFLOUN4RST,Canada-DFO-4RST,Witch flounder Gulf of St. Lawrence,Canada East Coast
WITFLOUN5Y,USA-NMFS-5Y,Witch Flounder NAFO-5Y,US East Coast
WITFLOUNIIIa-IV-VIId,multinational-ICES-IIIa-IV-VIId,"Witch flounder IIIa, VIId and North Sea",European Union
WLFLOUNNPAC,Japan-FAJ-NPAC,Willowy flounder North Pacific,Russia Japan
WMARLINATL,multinational-ICCAT-ATL,White marlin Atlantic,Atlantic Ocean
WPOLLAI,USA-NMFS-AI,Walleye pollock Aleutian Islands,US Alaska
WPOLLBOGO,USA-NMFS-BOGO,Walleye pollock Bogoslof,US Alaska
WPOLLEBS,USA-NMFS-EBS,Walleye pollock Eastern Bering Sea,US Alaska
WPOLLGA,USA-NMFS-GA,Walleye pollock Gulf of Alaska,US Alaska
WPOLLNAVAR,Russia-RFFA-NAVAR,Walleye Pollock Navarinsky,Russia Japan
WPOLLNSO,Russia-RFFA-NSO,Walleye pollock Northern Sea of Okhotsk,Russia Japan
WPOLLWBS,Russia-RFFA-WBS,Walleye pollock Western Bering Sea,Russia Japan
WROCKPCOAST,USA-NMFS-PCOAST,Widow rockfish Pacific Coast,US West Coast
WSCONGIMKB,Japan-FAJ-IMKB,Whitespotted conger Ise and Mikawa Bay,Russia Japan
WSHRIMPGM,USA-NMFS-GM,White shrimp Gulf of Mexico,US Southeast and Gulf
WSKAT5YCHATT,USA-NMFS-5YCHATT,Winter skate Gulf of Maine / Cape Hatteras,US East Coast
WVSCALLALASKA,USA-NMFS-ALASKA,Weathervane scallop Alaska,US Alaska
WWHELKQCW,Canada-DFO-QCW,Waved whelk Quebec Coastal Waters,Canada East Coast
YEGROUPGM,USA-NMFS-GM,Yellowedge grouper Gulf of Mexico,US Southeast and Gulf
YELL3LNO,multinational-NAFO-3LNO,Yellowtail Flounder NAFO 3LNO,Canada East Coast
YELLCCODGOM,USA-NMFS-CCOD5Y,Yellowtail flounder Cape Cod / Gulf of Maine,US East Coast
YELLGB,USA-NMFS-GB,Yellowtail flounder Georges Bank,US East Coast
YELLSNEMATL,USA-NMFS-SNEMATL,Yellowtail Flounder Southern New England-Mid Atlantic,US East Coast
YEYEROCKGA,USA-NMFS-GA,Yelloweye rockfish Gulf of Alaska,US Alaska
YEYEROCKPCOAST,USA-NMFS-PCOAST,Yelloweye rockfish Pacific Coast,US West Coast
YEYEROCKPCOASTIN,Canada-DFO-PCOASTIN,Yelloweye rockfish Pacific Coast of Canada (Inside),Canada West Coast
YFINATL,multinational-ICCAT-ATL,Yellowfin tuna Atlantic,Atlantic Ocean
YFINCWPAC,multinational-WCPFC-CWPAC,Yellowfin tuna Central Western Pacific,Pacific Ocean
YFINEIO,multinational-IOTC-IO,Yellowfin tuna Indian Ocean,Indian Ocean
YFINEPAC,multinational-IATTC-NEPAC,Yellowfin tuna Eastern Pacific,Pacific Ocean
YGSFISHNPAC,Japan-FAJ-NPAC,Yellow goosefish North Pacific,Russia Japan
YNOSESKACH,Chile-SUBPESCA-CH-CS,Yellownose Skate Chile,South America
YNOSESKACSCH,Chile-SUBPESCA-CH-CS,Yellownose skate Central-Southern Chile,South America
YNOSESKASCH,Chile-SUBPESCA-CH-S,Yellownose skate Southern Chile,South America
YSFLOUNNHOKK,Japan-FAJ-NHOKK,Yellow striped flounder North coast of Hokkaido,Russia Japan
YSFLOUNSOJ,Japan-FAJ-SOJ,Yellow striped flounder Sea of Japan,Russia Japan
YSOLEBSAI,USA-NMFS-BSAI,Yellowfin sole Bering Sea and Aleutian Islands,US Alaska
YTROCKNPCOAST,USA-NMFS-NPCOAST,Yellowtail rockfish Northern Pacific Coast,US West Coast
YTSNAPSATLCGM,USA-NMFS-SATLCGM,Yellowtail Snapper Southern Atlantic Coast and Gulf of Mexico,US Southeast and Gulf
